Extension Number,Name,Publisher,Extension ID,Source Code,Downloads,ok,critical,high,medium,low,total vul,vulnerabilities
37,Auto Rename Tag,Jun Han,6e440e71-8ed9-4f25-bb78-4b13096b8a03,https://github.com/formulahendry/vscode-auto-rename-tag.git,15378853,True,0,0,0,0,0,
38,GitHub Pull Requests and Issues,GitHub,69ddd764-339a-4ecc-97c1-9c4ece58e36d,https://github.com/Microsoft/vscode-pull-request-github.git,14427289,True,0,0,0,0,0,
39,YAML,Red Hat,2061917f-f76a-458a-8da9-f162de22b97e,https://github.com/redhat-developer/vscode-yaml.git,13761944,True,0,0,0,0,0,
40,Vetur,Pine Wu,2f5dd8cb-d251-4d70-abfe-ddebcb077483,https://github.com/vuejs/vetur.git,12969047,True,0,0,0,0,0,
41,Path Intellisense,Christian Kohler,a41c1549-4053-44d4-bf30-60fc809b4a86,https://github.com/ChristianKohler/PathIntellisense.git,11125380,True,0,0,0,0,0,
42,Auto Close Tag,Jun Han,d3836729-9cc1-42c1-b2af-d50071f57d29,https://github.com/formulahendry/vscode-auto-close-tag.git,11068397,True,0,0,0,0,0,
43,Better C++ Syntax,Jeff Hykin,73767f91-7dcb-43cb-90b3-596d073eea1f,https://github.com/jeff-hykin/better-cpp-syntax.git,10782040,True,0,0,0,0,0,
44,Go,Go Team at Google,d6f6cfea-4b6f-41f4-b571-6ad2ab7918da,https://github.com/golang/vscode-go.git,10716018,False,0,1,2,0,3,Server-side Request Forgery (SSRF); Regular Expression Denial of Service (ReDoS); Prototype Pollution
45,Doxygen Documentation Generator,Christoph Schlosser,da7e26d5-d57c-4742-ab47-d77fb189e195,https://github.com/cschlosser/doxdocgen.git,10510337,True,0,0,0,0,0,
46,PHP Debug,Xdebug,044b4b31-2969-4af3-895d-855433b8b46d,https://github.com/xdebug/vscode-php-debug.git,10070204,False,0,0,1,0,1,Denial of Service (DoS)
47,PHP Intelephense,Ben Mewburn,ffda6552-0ad5-431b-a4fa-0905a7e4f3f0,https://github.com/bmewburn/vscode-intelephense.git,9925145,False,0,2,2,0,4,Server-side Request Forgery (SSRF); Regular Expression Denial of Service (ReDoS); Regular Expression Denial of Service (ReDoS); Prototype Pollution
48,GitHub Theme,GitHub,7328a705-91fc-49e6-8293-da6f112e482d,https://github.com/primer/github-vscode-theme.git,9731524,True,0,0,0,0,0,
49,ES7+ React/Redux/React-Native snippets,dsznajder,19804510-b475-4dae-b0f7-6ca08fd1af0c,https://github.com/dsznajder/vscode-es7-javascript-react-snippets.git,9606109,True,0,0,0,0,0,
50,Git History,Don Jayamanne,5960f38e-0bbe-4644-8f9c-9c8824e82511,https://github.com/DonJayamanne/gitHistoryVSCode.git,9534057,True,0,0,0,0,0,
